 
ZENNER DO BRASIL INSTRUMENTOS DE MEDICAO LTDA    FILIAL: ZRB;                                                                    13/04/26 17:33 PAGINA:   1/1
RELATORIO VINCULO DE LACRE COM O LOTE;LACRES: 0 A 999999999;
________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________;
COD. LACRE;LACRE;DATA VINCULO;SEQ. LOTE;TIPO;LOTE PRODUTO;COD. INMETRO;LOTE INMETRO;
435114;ECH2763520;07/08/2024;484955;G;I23Z0001056D;;;
435115;ECH2763532;07/08/2024;484958;G;I23Z0001060D;;;
435116;ECH2763544;07/08/2024;484901;G;I24Z0000585D;;;
435117;ECH2763556;07/08/2024;484593;G;I23Z0001061D;;;
435118;ECH2763568;07/08/2024;484902;G;I24Z0000586D;;;
435119;ECH2763570;08/08/2024;484574;G;I23Z0001013D;;;
435120;ECH2763581;08/08/2024;484569;G;I23Z0001006D;;;
435121;ECH2763593;08/08/2024;442099;G;I23Z0000532D;;;
435122;ECH2763600;08/08/2024;442100;G;I23Z0000533D;;;
435123;ECH2763611;08/08/2024;442101;G;I23Z0000534D;;;
435124;ECH2763623;08/08/2024;442104;G;I23Z0000537D;;;
435125;ECH2763635;08/08/2024;442102;G;I23Z0000535D;;;
435126;ECH2763647;08/08/2024;442103;G;I23Z0000536D;;;
435127;ECH2763659;03/09/2024;495027;G;I23Z0001088D;;;
435128;ECH2763660;03/09/2024;495028;G;I23Z0001089D;;;
435129;ECH2763672;03/09/2024;495029;G;I23Z0001090D;;;
435130;ECH2763684;08/08/2024;442105;G;I23Z0000538D;;;
435131;ECH2763696;03/09/2024;495031;G;I23Z0001092D;;;
435132;ECH2763702;03/09/2024;495030;G;I23Z0001091D;;;
435133;ECH2763714;03/09/2024;495032;G;I23Z0001093D;;;
435134;ECH2763726;03/09/2024;495033;G;I23Z0001094D;;;
435135;ECH2763738;03/09/2024;495020;G;I23Z0001095D;;;
435136;ECH2763740;03/09/2024;495021;G;I23Z0001096D;;;
435137;ECH2763751;03/09/2024;495022;G;I23Z0001097D;;;
